key	kind	subject	result	file
oneof-array-variant-anyof-item	query	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"type\"" content:"\"items\"" content:"\"anyOf\"" content:"array" count:all type:file	1934	queries.jsonl
oneof-array-variant-anyof-nullable-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"oneOf:" content:"type:" content:"items:" content:"anyOf:" content:"type: array" count:all type:file	1220	queries.jsonl
oneof-array-variant-anyof-nullable-item	query	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"type\"" content:"\"items\"" content:"\"anyOf\"" content:"array" count:all type:file	2105	queries.jsonl
oneof-array-variant-closed-object-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"oneOf:" content:"type:" content:"items:" content:"additionalProperties:" content:"type: array" count:all type:file	2202	queries.jsonl
oneof-array-variant-closed-object-item	query	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"type\"" content:"\"items\"" content:"\"additionalProperties\"" content:"array" count:all type:file	2226	queries.jsonl
oneof-array-variant-composed-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"oneOf:" content:"type:" content:"items:" content:"allOf:" content:"type: array" count:all type:file	1810	queries.jsonl
oneof-array-variant-composed-item	query	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"type\"" content:"\"items\"" content:"\"allOf\"" content:"array" count:all type:file	3350	queries.jsonl
oneof-array-variant-empty-object-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"oneOf:" content:"type:" content:"items:" content:"additionalProperties:" content:"properties:" content:"type: array" count:all type:file	2202	queries.jsonl
oneof-array-variant-empty-object-item	query	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"type\"" content:"\"items\"" content:"\"additionalProperties\"" content:"\"properties\"" content:"array" count:all type:file	3745	queries.jsonl
oneof-bare-object-example-variant	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"oneOf:" content:"$ref:" content:"additionalProperties:" content:"allOf:" content:"example:" content:"properties:" content:"type:" content:"properties: {}" count:all type:file	251	queries.jsonl
oneof-bare-object-example-variant	query	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"$ref\"" content:"\"additionalProperties\"" content:"\"allOf\"" content:"\"example\"" content:"\"properties\"" content:"\"type\"" content:"{}" count:all type:file	1493	queries.jsonl
property-sole-anyof-closed-object-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"anyOf:" content:"additionalProperties:" content:"additionalProperties: false" count:all type:file	534	queries.jsonl
property-sole-anyof-closed-object-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"anyOf\"" content:"\"additionalProperties\"" content:"false" count:all type:file	2760	queries.jsonl
property-sole-anyof-composed-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"anyOf:" content:"type:" content:"allOf:" count:all type:file	1006	queries.jsonl
property-sole-anyof-composed-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"anyOf\"" content:"\"type\"" content:"\"allOf\"" count:all type:file	2151	queries.jsonl
property-sole-anyof-empty-object-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"anyOf:" content:"additionalProperties:" content:"type:" content:"properties: {}" count:all type:file	212	queries.jsonl
property-sole-anyof-empty-object-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"anyOf\"" content:"\"additionalProperties\"" content:"\"type\"" content:"{}" count:all type:file	1340	queries.jsonl
property-sole-anyof-struct-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"anyOf:" count:all type:file	3005	queries.jsonl
property-sole-anyof-struct-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"anyOf\"" count:all type:file	3851	queries.jsonl
property-sole-oneof-closed-object-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"oneOf:" content:"additionalProperties:" content:"additionalProperties: false" count:all type:file	976	queries.jsonl
property-sole-oneof-closed-object-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"oneOf\"" content:"\"additionalProperties\"" content:"false" count:all type:file	4369	queries.jsonl
property-sole-oneof-composed-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"oneOf:" content:"type:" content:"allOf:" count:all type:file	1996	queries.jsonl
property-sole-oneof-composed-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"oneOf\"" content:"\"type\"" content:"\"allOf\"" count:all type:file	3616	queries.jsonl
property-sole-oneof-empty-object-member	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"oneOf:" content:"additionalProperties:" content:"type:" content:"properties: {}" count:all type:file	367	queries.jsonl
