key	source	item	blocker	build	src_moved_since
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/runtimelexv2/2020-08-07/meta/import/output-bundle.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/runtimelexv2/2020-08-07/meta/import/output-entry.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/runtimelexv2/2020-08-07/openapi.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/timestream-query/2018-11-01/meta/import/input-bundle.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/timestream-query/2018-11-01/meta/import/input-entry.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/timestream-query/2018-11-01/meta/import/output-bundle.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/timestream-query/2018-11-01/meta/import/output-entry.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/amazonaws.com/timestream-query/2018-11-01/openapi.json	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/cloudflare.com/main/4.0.0/meta/import/input-bundle.json	probe on build 8a9454cb74d0: timeout after 300s	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/cloudflare.com/main/4.0.0/meta/import/input-entry.json	probe on build 8a9454cb74d0: timeout after 300s	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/cloudflare.com/main/4.0.0/meta/import/output-bundle.json	probe on build 8a9454cb74d0: timeout after 300s	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/cloudflare.com/main/4.0.0/meta/import/output-entry.json	probe on build 8a9454cb74d0: timeout after 300s	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	jentic	apis/openapi/cloudflare.com/main/4.0.0/openapi.json	probe on build 8a9454cb74d0: timeout after 300s	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-code-search	apostrophecms/apostrophe:packages/apostrophecms-openapi/apostrophecms-openapi.yaml@bcc5d37ad550bbf835cb972a021191a711303b5b	probe on build 8a9454cb74d0: no profile (exit -6)	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-code-search	Blueforcer/awtrix-ng:docs/api/openapi.yaml@6d6cc64aa6739724d8501199de70c6692cbb2c6c	acquisition-failure: parse-failure	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-code-search	Open-EO/openeo-api:openapi.yaml@1881dae18b3c2c417f1305774cf295c81d60d400	acquisition-failure: parse-failure	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-code-search	ergoplatform/ergo:src/main/resources/api/openapi.yaml@23aabead88774d27f2c9190ace3c9abbc8f1d5cb	acquisition-failure: parse-failure	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-code-search	sidoh/esp8266_milight_hub:docs/openapi.yaml@23102c73f7a40ad4308952162a9040f72d6cfc56	acquisition-failure: parse-failure	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
