snapshot_utc	catalogue_digest	gap_key	selector	outcome	api_id	version	spec_url	source_url	immutable_ref	license	license_screen	declaration_count	notes
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	candidate	pandascore.co	2.23.1	https://api.apis.guru/v2/specs/pandascore.co/2.23.1/openapi.json				refused	7	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	candidate	asana.com	1.0	https://api.apis.guru/v2/specs/asana.com/1.0/openapi.json			Apache 2.0	admitted	2	publisher-owned immutable source not evidenced; repeats the rejected-spec table in tests/fixtures/AGENTS.md
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	candidate	box.com	2.0.0	https://api.apis.guru/v2/specs/box.com/2.0.0/openapi.json			Apache-2.0	admitted	34	publisher-owned immutable source not evidenced
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	annotated-ref-target-oneof	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.oneOf	candidate	pandascore.co	2.23.1	https://api.apis.guru/v2/specs/pandascore.co/2.23.1/openapi.json				refused	4	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	annotated-ref-target-string-const	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.const:string-valued	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-array-variant-anyof-nullable-item	schema.anyOf>schema.type:primary=array&schema.items>schema.anyOf:sole-non-null-member	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-array-variant-closed-object-item	schema.anyOf>schema.type:primary=array&schema.items>schema.additionalProperties=false	candidate	webflow.com	2023-03-01T164537Z	https://api.apis.guru/v2/specs/webflow.com/2023-03-01T164537Z/openapi.json				refused	1	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-array-variant-empty-object-item	schema.anyOf>schema.type:primary=array&schema.items>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-array-variant-oneof-nullable-item	schema.anyOf>schema.type:primary=array&schema.items>schema.oneOf:sole-non-null-member	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-array-variant-struct-item	schema.anyOf>schema.type:primary=array&schema.items>schema.properties:non-empty	candidate	stripe.com	2022-11-15	https://api.apis.guru/v2/specs/stripe.com/2022-11-15/openapi.json				refused	20	publisher-owned immutable source not evidenced; document declares no info.license
