repository	path	sha256	pinned_refs	sources	classification	declared_keys	licence	ref_screen	fern	disposition	evidence	screen_evidence
Adyen/adyen-openapi	json/BalancePlatformAccountingNotification-v1.json	2a1e3429d834a0295d9fa9070d17cd187632b99e263e5c7be892b329b7257534	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:8	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformAccountingNotification-v3.json	20e0d96b1e922c6ce166832d501a86f20bea933a57313393ef942a6973c824fe	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:9	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformAcsNotification-v1.json	6e09e9b5342ecc02e846cd9b6f40681538ce733fca61f46571bdc5241c8495ea	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:10	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformBalanceNotification-v1.json	ac5b3cab3212d4d4b5b526aa8fb8e383476ed4cf8cd6e927cf658f6ba86ce193	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:11	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformConfigurationNotification-v1.json	74e0766552b144d791e3bb8527c779d87adac6f1f79579f0a3ec2386411d5606	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:12	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformConfigurationNotification-v2.json	01b61cd1cfdc7b53e562f8bc99a6996ef6a9c8752f4a79a3cbd6a39aeadf0c6c	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:13	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformDisputeNotification-v1.json	5737b3fefde8e8f21fa9f556405804cc4fca9ce3d2530e447205aa521d0d61b3	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:14	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformGrantNotification-v1.json	e5c4bb577e369d370b264ad5e60340cba2397d791fbe08848043344361418693	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:15	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformManagedRiskNotification-v1.json	f22956a277991d410d27d048659aa9cd885058608b224e623abd9eea3eb6607b	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:16	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformNegativeBalanceCompensationWarningNotification-v1.json	05402ffb243ef46393d33817fc988eff73516723f95df87b8cd069fd79bfc344	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:17	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformPaymentNotification-v1.json	f977bd66d03ed337aa7bcf70afdf08bd50746bee29fd8e25ac10c5310362e0aa	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:18	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformRelayedAuthorisationNotification-v1.json	63b6fef623b14630985940739ce6a3572a91df20f297fd24ce0d4916ec09ac79	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:19	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformRelayedAuthorisationNotification-v2.json	7b9bccbdad558a5fb5405b691ee5789500093eb659d75f34064c9f38f84d27cc	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:20	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformRelayedAuthorisationNotification-v4.json	42573720e06e77229f964e802a1476311760356e3f1b1314b2270e459c7bd492	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:21	not-applicable-no-declaration
